zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
36101,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36103,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36102,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36105,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36104,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36107,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36106,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35068,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35063,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35062,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
